periode_data,wilayah,kecamatan,kelurahan,kode_hidran,nama_hidran,longitude,latitude,alamat,kondisi
null,Jakarta Utara,Tanjung Priok,Sunter Agung,132050207008,Hidran Kota,"106,8693596","-6,1438657",Sunter Agung Jln. Danau Agung Tengah 4,Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Agung,132050207008,Hidran Kota,"106,8645249","-6,1447285",Sunter Agung Jln. Danau Agung Tengah  (Depan Pos Pemadam Podomoro),Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Agung,132050207008,Hidran Kota,N/A,N/A,Sunter Agung Jln. Danau Agung Tengah III  (Depan RS. Paradise),Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Jaya,132050207008,Hidran Kota,"106,8839911","-6,1271519",Sunter Agung Jln. Mitra Sunter Boulevard,Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Agung,132050207008,Hidran Kota,N/A,N/A,Sunter Agung Jln. Raya Tugu (Depan Sekolah Marsudirini),Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Agung,132050207008,Hidran Kota,N/A,N/A,Sunter Agung Jln. Agung Timur 9 Pertigaan Agung Timur 7 Ke 10,Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Jaya,132050207008,Hidran Kota,N/A,N/A,Sunter Jaya Jln. Sunter Mas,Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Jaya,132050207008,Hidran Kota,"106,891628","-6,1380116",Sunter Jaya Jln. Yos Sudarso (Depan Citra Marga NS),Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Jaya,132050207008,Hidran Kota,N/A,N/A,Sunter Jaya Jln. Mitra Sunter Boulevard,Rusak Ringan
null,Jakarta Utara,Tanjung Priok,Sunter Jaya,132050207008,Hidran Kota,"106,8895803","-6,1473563",Sunter Jaya Jln. Laksamana Yis Sudarso (Depan PLN Tanjung Priok),Baik
null,Jakarta Utara,Tanjung Priok,Sungai Bambu,132050207008,Hidran Kota,"106,8900945","-6,1423665",Sunter Jaya Jln. Danau Sunter Utara ( Depan PT. Toyota),Rusak Ringan
